region_code_iso3166_2,region_code_iso3166_2_alpha3,region_code_iso3166_1,region_code_iso3166_1_alpha3,region_code_stmf,region_code_hmd,region_name,region_level,country_name,hemisphere,continent
AT,AUT,AT,AUT,AUT,AUT,Austria,0,Austria,n,Europe
AU,AUS,AU,AUS,AUS2,AUS,Australia,0,Australia,s,Oceania
BE,BEL,BE,BEL,BEL,BEL,Belgium,0,Belgium,n,Europe
BG,BGR,BG,BGR,BGR,BGR,Bulgaria,0,Bulgaria,n,Europe
CA,CAN,CA,CAN,CAN,CAN,Canada,0,Canada,n,North America
CH,CHE,CH,CHE,CHE,CHE,Switzerland,0,Switzerland,n,Europe
CL,CHL,CL,CHL,CHL,CHL,Chile,0,Chile,s,South America
CZ,CZE,CZ,CZE,CZE,CZE,Czech Republic,0,Czech Republic,n,Europe
DE,DEU,DE,DEU,DEUTNP,DEUTNP,Germany,0,Germany,n,Europe
DK,DNK,DK,DNK,DNK,DNK,Denmark,0,Denmark,n,Europe
EE,EST,EE,EST,EST,EST,Estonia,0,Estonia,n,Europe
ES,ESP,ES,ESP,ESP,ESP,Spain,0,Spain,n,Europe
FI,FIN,FI,FIN,FIN,FIN,Finland,0,Finland,n,Europe
FR,FRA,FR,FRA,FRATNP,FRATNP,France,0,France,n,Europe
GB-EAW,GBR-EAW,GB,GBR,GBRTENW,GBRTENW,England and Wales,1,Great Britain,n,Europe
GB-NIR,GBR-NIR,GB,GBR,GBR_NIR,GBR_NIR,Northern Ireland,1,Great Britain,n,Europe
GB-SCT,GBR-SCT,GB,GBR,GBR_SCO,GBR_SCO,Scotland,1,Great Britain,n,Europe
GR,GRC,GR,GRC,GRC,GRC,Greece,0,Greece,n,Europe
HR,HRV,HR,HRV,HRV,HRV,Croatia,0,Croatia,n,Europe
HU,HUN,HU,HUN,HUN,HUN,Hungary,0,Hungary,n,Europe
IL,ISR,IL,ISR,ISR,ISR,Israel,0,Israel,n,Asia
IS,ISL,IS,ISL,ISL,ISL,Iceland,0,Iceland,n,Europe
IT,ITA,IT,ITA,ITA,ITA,Italy,0,Italy,n,Europe
KR,KOR,KR,KOR,KOR,KOR,South Korea,0,South Korea,n,Asia
LT,LTU,LT,LTU,LTU,LTU,Lithuania,0,Lithuania,n,Europe
LU,LUX,LU,LUX,LUX,LUX,Luxembourg,0,Luxembourg,n,Europe
LV,LVA,LV,LVA,LVA,LVA,Latvia,0,Latvia,n,Europe
NL,NLD,NL,NLD,NLD,NLD,Netherlands,0,Netherlands,n,Europe
NO,NOR,NO,NOR,NOR,NOR,Norway,0,Norway,n,Europe
NZ,NZL,NZ,NZL,NZL_NP,NZL_NP,New Zealand,0,New Zealand,s,Oceania
PL,POL,PL,POL,POL,POL,Poland,0,Poland,n,Europe
PT,PRT,PT,PRT,PRT,PRT,Portugal,0,Portugal,n,Europe
RU,RUS,RU,RUS,RUS,RUS,Russia,0,Russia,n,Asia
SE,SWE,SE,SWE,SWE,SWE,Sweden,0,Sweden,n,Europe
SI,SVN,SI,SVN,SVN,SVN,Slovenia,0,Slovenia,n,Europe
SK,SVK,SK,SVK,SVK,SVK,Slovakia,0,Slovakia,n,Europe
TW,TWN,TW,TWN,TWN,TWN,Taiwan ,0,Taiwan ,n,Asia
US,USA,US,USA,USA,USA,USA,0,USA,n,North America
